Text,Label,reads,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
"Thank you Viksilin. Looking back at Quick summary for unit 5, it says 1%CI for Z value for 95% is 1.96 & 99% is 2.58.  Is it the same for T-values?",1,239,32,89.84,82.58,2.67,99,10.67,9.38,62.5,40.62,9.38,3.12,0,0,3.12,0,0,6.25,3.12,15.62,9.38,3.12,0,0,18.75,3.12,3.12,0,18.75,0,9.38,9.38,0,0,0,0,6.25,0,0,0,0,0,0,0,0,0,0,0,6.25,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,15.62,0,9.38,0,6.25,6.25,0,0,0,0,0,0,0,0,0,0,0,0,28.12,6.25,3.12,0,0,3.12,0,3.12,0,0,0,12.5
"oops, I think I am over-complicating my calculations. I think, instead that I should take the observed change mean +/- the 3.055 (given) and multiply by the Standard Error.  Can anyone confirm??",0,239,32,47.36,5.92,98.64,25.77,10.67,21.88,75,53.12,21.88,15.62,15.62,0,0,0,0,6.25,9.38,6.25,9.38,3.12,3.12,0,21.88,3.12,0,0,3.12,0,0,0,0,0,0,0,3.12,0,0,0,0,25,12.5,3.12,3.12,3.12,0,3.12,0,0,0,0,0,0,0,0,0,6.25,0,0,3.12,3.12,0,3.12,18.75,0,6.25,3.12,3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,6.25,6.25,0,0,6.25,0,6.25,0,0,6.25,6.25
"hello,regarding question 9, i calculated the standard deviation of the data before and after intervention. then to calculate the  standard deviation of change in duration, i got stuck. i don't know should i subtract the SD of the AFTER from the SD of BEFORE or vice versa?thank you",0,169,50,99,34.44,87.83,63.69,16.67,22,70,56,10,10,8,0,2,0,0,0,12,24,4,0,6,2,12,8,8,0,2,0,2,2,0,0,0,0,6,0,0,0,0,10,4,2,2,4,0,2,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,4,6,2,16,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,14,4,6,0,0,2,0,0,0,2,0,0
"Due today so dont read if you havent done already:Question 1: How do you determine if something is \corrleated\"" or not? I can understand how one may see twins as correlated, but they are still different people. The examples in the module were of \""two sides of one face\"". I guess I want a more objective measure of \""correlation\"" other than: \""they seem related\"". Couldnt you say that even twins are not correlated because they are different people?Question 4: so is the point here that you know the standard deviation for each measurement, but not the standard deviation for the change in measurement?Question 9: why did you divide the quotient by 12 instead of 13?Question 11: why did you multiply the T value by the Standard error of mean, not the standard deviation?""",0,217,137,35.17,44.2,81.04,38.77,27.4,23.36,80.29,55.47,11.68,8.76,2.19,0,4.38,0,2.19,2.92,8.03,9.49,10.95,8.03,8.03,5.11,17.52,4.38,3.65,2.92,6.57,1.46,0.73,0.73,0,0,0,0,12.41,0,0,0,0,28.47,9.49,4.38,2.92,8.03,0,10.95,1.46,0.73,0.73,0,0.73,0.73,0,0,0,0,0,0,0,0,0,3.65,13.87,0.73,6.57,0.73,2.92,2.92,0.73,0,0,0,0,0,0,0,0,0,0,0,24.09,2.19,2.19,4.38,0,3.65,0,0,5.84,0,0,5.84
"Yes, linear regression assumes normality of residuals.  It does not matter if the outcome variables are normally distributed or not.  For example, if x values are approximately ***uniformly*** distributed and have a rather high correlation with y values with normally distributed residuals then all is good with your regression.  The distribution of x values does not matter at all (provided that you have a lack of highly influential outliers).  If x and y are highly correlated then you would expect to see clusters of y values for each x value at a given level, which means that y values (outcome) are certainly not normally distributed.",1,91,105,72.97,25.24,2.82,99,21,25.71,75.24,44.76,6.67,2.86,0,0,2.86,0,0,3.81,4.76,11.43,9.52,0.95,7.62,3.81,13.33,1.9,0,0.95,0,3.81,7.62,7.62,0,0,0,0,2.86,0,0,0,0,24.76,3.81,1.9,9.52,6.67,2.86,8.57,0.95,0.95,0,0,0,0,0,0,0,3.81,0,0,1.9,0.95,0.95,1.9,11.43,2.86,6.67,0,4.76,1.9,0,0,0,0,0,0,0.95,0,0,0.95,0,0,17.14,4.76,2.86,0,0,0,0,0,0,0,3.81,5.71
There is another thread says it will be open for a week.https://class.stanford.edu/courses/Medicine/HRP258/Statistics_in_Medicine/discussion/forum/i4x-SampleUniversity-HRP258-course-Introduction_to_Medical_Statistics/threads/51ede86cb81a<phoneRedac>e3,1,304,39,87.08,77.92,1.4,25.77,39,33.33,58.97,25.64,5.13,0,0,0,0,0,0,5.13,2.56,7.69,7.69,2.56,0,0,12.82,0,0,0,0,5.13,0,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,5.13,0,5.13,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,10.26,2.56,7.69,0,5.13,2.56,7.69,0,0,0,0,0,2.56,0,2.56,0,0,0,61.54,7.69,0,0,0,0,0,10.26,0,0,0,43.59
you are asked to compute the std dev of the change in duration viz difference between before and after,1,169,19,99,85.38,81.22,25.77,19,21.05,84.21,57.89,5.26,5.26,0,0,5.26,0,0,0,10.53,31.58,5.26,0,5.26,0,10.53,15.79,15.79,0,0,0,0,0,0,0,0,0,10.53,0,0,0,0,10.53,0,5.26,0,0,0,5.26,0,0,0,0,5.26,0,5.26,5.26,0,0,0,0,0,0,0,5.26,5.26,0,21.05,5.26,5.26,10.53,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It doesn't seem like there is too much math from my perspective.Another general comment which is not optimal here, but I am going to comment here anyway because I can't find the string(s) where it has been discussed before.I too have made a number of silly errors, including proximal ones which throw everything else off. This is the perfect place to do it. Like never gets easier than this. There is no real penalty, just a little sting because you worked on the topic and got a red x, not a green check. The focus on the grade is infantile. It is fascinating how indoctrinated we become by our culture! The point is what you learn. Sometimes a red x can offer more learning, even if it is a silly mistake.",0,282,134,35.58,41.16,49.3,80.01,16.75,15.67,88.06,61.19,14.93,5.97,2.99,1.49,1.49,0,0,8.96,8.96,9.7,11.94,8.96,4.48,4.48,18.66,8.96,4.48,3.73,0,2.24,4.48,3.73,0.75,0,0,0,7.46,0,0,0,0,16.42,4.48,2.99,1.49,2.24,2.24,5.22,2.24,2.24,0,0,0,0,0,0,0,5.22,1.49,0.75,0,2.99,0,2.99,16.42,0.75,9.7,1.49,5.97,2.24,3.73,0,0,0,0,0,0.75,0,0,0,0,0.75,14.18,6.72,3.73,0,0,0,0.75,0,0,1.49,1.49,0
"Dear Kristin, how should one estimate the effect size of linear relation:minor, moderate or strong?",0,74,16,72.69,50,35.37,99,16,25,75,31.25,0,0,0,0,0,0,0,0,6.25,6.25,6.25,6.25,12.5,0,6.25,6.25,0,6.25,6.25,0,12.5,12.5,0,0,0,0,6.25,0,6.25,0,0,31.25,12.5,12.5,6.25,6.25,0,6.25,0,0,0,0,0,0,0,0,0,25,12.5,0,12.5,0,0,0,0,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,6.25,0,6.25,0,0,0,0,0,0
"You already accounted for the two sided character of the alternative hypothesis so, compare 0.0058 to 0.01 not half of that.As an aside, why not compute $2 cdot P( t geq 3.3478 ) = .0058$ directly instead of doing the \1 minus\"" thing?""",0,194,42,90.75,17.04,13.15,25.77,42,21.43,71.43,50,7.14,2.38,0,0,2.38,0,0,4.76,9.52,16.67,2.38,9.52,4.76,4.76,2.38,4.76,4.76,2.38,19.05,0,0,0,0,0,0,0,2.38,0,0,0,0,16.67,0,2.38,0,2.38,2.38,9.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,0,4.76,0,2.38,2.38,2.38,2.38,0,2.38,0,0,0,0,0,0,0,0,30.95,2.38,4.76,0,0,2.38,0,0,4.76,0,4.76,11.9
That's the upper end.,1,239,4,38.6,50,99,25.77,4,0,100,50,25,0,0,0,0,0,0,25,25,0,25,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,0,0,25,0,50,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,0,0,25,0,0
